id,group,dele,pstm,wm,age,aoa_l2,months_abroad,l1_use_week,l2_use_week,years_work_int
LA01,la,42,5,10,26,16,12,80,20,na
LA02,la,46,10,13,27,12,2,70,30,na
LA03,la,48,8,1,26,14,24,60,40,na
LA05,la,53,9,11,33,12,72,80,20,na
LA07,la,41,9,na,20,8,1,90,10,na
LA08,la,43,8,9,22,15,1,70,30,na
LA09,la,39,8,8,22,14,5,70,30,na
LA10,la,51,9,10,29,11,7,70,30,na
LA11,la,44,8,8,26,16,4,99,1,na
LA12,la,44,5,10,21,18,0,65,35,na
LA13,la,45,8,9,22,6,5,60,40,na
LA15,la,40,10,11,20,7,0,95,5,na
LA16,la,50,8,7,32,13,19,70,30,na
LA17,la,49,7,8,38,14,13,95,5,na
LA18,la,51,8,10,29,12,1,75,25,na
LA20,la,42,7,8,35,19,12,80,20,na
LA21,la,51,9,10,34,21,18,95,5,na
LA22,la,43,7,9,31,12,9,70,30,na
LA23,la,44,8,9,30,13,9,70,30,na
LA24,la,53,10,10,27,17,9,45,55,na
LA25,la,48,7,8,25,13,12,50,50,na
LA26,la,48,8,10,26,15,7,70,30,na
LA27,la,45,9,11,27,12,9,70,30,na
LA28,la,51,8,9,35,14,12,70,30,na
LA29,la,47,9,8,25,12,22,65,35,na
LA30,la,46,8,10,29,13,37,80,20,na
LA31,la,40,7,8,24,15,0,70,30,na
IN01,in,43,9,10,33,19,24,50,50,8
IN02,in,53,10,10,36,12,4,80,20,11
IN03,in,47,9,8,50,14,6,70,30,22
IN04,in,49,9,9,38,11,8,70,30,15
IN05,in,52,10,8,35,13,9,50,50,13
IN06,in,54,9,8,47,13,24,70,30,17
IN07,in,48,8,9,42,13,48,50,50,13
IN08,in,50,11,9,42,12,48,65,35,13
IN09,in,51,7,8,48,20,12,60,40,5
IN10,in,39,7,6,47,25,11,70,30,16
IN11,in,53,9,9,28,19,22,50,40,2
IN12,in,51,8,10,33,23,12,50,20,6.5
IN13,in,53,8,14,65,12,4,70,30,24
IN14,in,48,7,12,31,7,12,60,40,8
IN15,in,48,10,13,44,16,12,90,0,16
IN16,in,47,11,9,53,11,48,80,0,13
IN17,in,46,10,15,34,14,22,60,40,5
IN18,in,47,6,14,49,12,1,60,40,26
IN19,in,48,7,13,25,16,1,60,40,2
IN20,in,53,9,12,25,12,2,70,30,2
IN21,in,56,10,12,64,14,418,60,30,33
IN22,in,43,9,18,40,20,8,75,10,11
IN23,in,42,6,5,76,19,17,50,50,35
S01,,,,,47,,,,,
S02,,,,,23,,,,,
S03,,,,,23,,,,,
S04,,,,,23,,,,,
S05,,,,,23,,,,,
S06,,,,,23,,,,,
S07,,,,,31,,,,,
S08,,,,,21,,,,,
S09,,,,,24,,,,,
S10,,,,,17,,,,,
S11,,,,,21,,,,,
S12,,,,,34,,,,,
S13,,,,,42,,,,,
S14,,,,,44,,,,,
S15,,,,,46,,,,,
S16,,,,,49,,,,,
S17,,,,,33,,,,,
S18,,,,,27,,,,,
S19,,,,,29,,,,,
S20,,,,,37,,,,,
S21,,,,,37,,,,,
SS10(S22UPFgating),,,,,24,,,,,
SS30(S23UPFgating),,,,,44,,,,,
SS32(S24UPFgating),,,,,22,,,,,
SS38(S25UPFgating),,,,,19,,,,,