participant,wm
l11,6
l12,8
l13,4
l16,1
l17,9
l18,4
l19,12
l24,5
l25,7
l27,6
l28,6
l29,6
l11,6
l12,8
l13,4
l16,1
l17,9
l18,4
l19,12
l24,5
l25,7
l27,6
l28,6
l29,6
la01,10
la02,13
la03,1
la05,11
la08,9
la09,8
la10,10
la11,8
la12,10
la13,9
la15,11
la16,7
la17,8
la18,10
la19,8
la20,8
la21,10
la22,9
la23,9
la24,10
la25,8
la26,10
la27,11
la28,9
la29,8
la30,10
la01,10
la02,13
la03,1
la05,11
la08,9
la09,8
la10,10
la11,8
la12,10
la13,9
la15,11
la16,7
la17,8
la18,10
la19,8
la20,8
la21,10
la22,9
la23,9
la24,10
la25,8
la26,10
la27,11
la28,9
la29,8
la30,10
s1,6
s2,10
s3,11
s4,6
s5,11
s6,9
s7,10
s8,7
s9,8
s10,12
s11,8
s12,10
s13,11
s14,10
s16,6
s17,12
s19,8
s20,9
s21,14
ss10,8
ss30,10
s32,12
s38,6
s1,6
s2,10
s3,11
s4,6
s5,11
s6,9
s7,10
s8,7
s9,8
s10,12
s11,8
s12,10
s13,11
s14,10
s16,6
s17,12
s19,8
s20,9
s21,14
ss10,8
ss30,10
s32,12
s38,6