group,participant,wm
ss,SB01,6
ss,SB02,10
ss,SB03,11
ss,SB04,6
ss,SB05,11
ss,SB06,9
ss,SB07,10
ss,SB08,7
ss,SB09,8
ss,SB10,12
ss,SB11,8
ss,SB12,10
ss,SB13,11
ss,SB14,10
ss,SB15,8
ss,SB16,6
ss,SB17,12
ss,SB18,10
ss,SB19,8
ss,SB20,9
ss,SB21,9
ss,SB22,12
ss,SB23,6
ss,SB24,10
ss,SB25,10
hs,HS01,12
hs,HS03,11
hs,HS06,5
hs,HS07,10
hs,HS08,9
hs,HS09,10
hs,HS10,11
hs,HS12,11
hs,HS13,12
hs,HS14,0
hs,HS15,9
hs,HS17,11
hs,HS18,12
hs,HS19,9
hs,HS20,8
hs,HS21,11
hs,HS22,10
hs,HS23,7
hs,HS24,9
hs,HS25,9
hs,HS26,11
hs,HS27,9
hs,HS28,7
hs,HS29,8
hs,HS30,10
hs,HS31,9
int,IN01,10
int,IN02,10
int,IN03,8
int,IN04,9
int,IN05,8
int,IN06,8
int,IN07,9
int,IN08,9
int,IN09,8
int,IN10,6
int,IN11,9
int,IN12,10
lb,L02 ,NA
lb,L05 ,NA
lb,L06 ,NA
lb,L08 ,NA
lb,L10 ,6
lb,L11 ,5
lb,L13 ,8
lb,L14 ,4
lb,L15 ,9
lb,L16 ,1
lb,L18 ,4
lb,L19 ,2
lb,L20 ,10
lb,L21 ,2
lb,L22 ,NA
lb,L23 ,2
lb,L24 ,5
lb,L25 ,7
lb,L27 ,6
lb,L29 ,6
lb,L30 ,6
lb,L31 ,NA
la,LA01,10
la,LA02,13
la,LA03,1
la,LA05,11
la,LA08,9
la,LA09,8
la,LA10,10
la,LA11,8
la,LA12,10
la,LA13,9
la,LA15,11
la,LA16,7
la,LA17,8
la,LA18,10
la,LA20,8
la,LA21,10
la,LA22,9
la,LA23,9
la,LA24,10
la,LA25,8
la,LA26,10
la,LA27,11
la,LA28,9
la,LA29,8
la,LA30,10
la,LA31,8